V 0 :0.997834 -0.0105558 -0.0649297 -0.0645998 0.0290595 -0.997488 0.0124161 0.999522 0.0283145 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,-0.998216 0.01937 0.05648 -0.0191071 -0.999804 0.00519115 0.0565694 0.00410272 0.99839 ,-0.0740332 0.0302236 -0.0400969 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,0.125719 -0.0316271 0.0687992 ,19.3055
E 223 214 :0.99846 -0.0483626 -0.0271908 0.0484121 0.998827 0.0011679 0.0271025 -0.00248247 0.99963 ,-0.119732 0.0241997 -1.69942 
E 230 229 :0.999747 0.0132858 -0.0181583 -0.0128198 0.999592 0.0255427 0.0184902 -0.0253034 0.999509 ,-0.00983839 -0.00905509 -0.19001 
E 230 228 :0.999565 0.00578823 -0.0289358 -0.00416944 0.998439 0.0556947 0.029213 -0.0555498 0.998028 ,-0.0217832 -0.0303438 -0.375387 
E 230 227 :0.999892 -0.0143283 0.00319316 0.0142161 0.999362 0.032758 -0.00366049 -0.0327091 0.999458 ,-0.0327715 -0.019244 -0.544681 
E 230 226 :0.999445 -0.023546 0.0235641 0.0230203 0.999485 0.0223371 -0.0240779 -0.0217822 0.999473 ,-0.0462029 -0.0170417 -0.661729 
E 230 225 :0.996507 -0.031417 0.0773692 0.0272428 0.998146 0.0544277 -0.0789357 -0.0521298 0.995516 ,-0.068977 -0.043549 -0.841182 
E 230 224 :0.994327 -0.0520284 0.092773 0.0442994 0.995522 0.0835075 -0.0967023 -0.078924 0.992179 ,-0.0952763 -0.0727369 -1.01795 
E 230 223 :0.993627 -0.0254973 0.109795 0.0182524 0.99762 0.0664926 -0.111229 -0.0640648 0.991728 ,-0.118804 -0.0636955 -1.1861 
E 230 222 :0.987527 -0.0420565 0.151726 0.0362205 0.998501 0.0410259 -0.153224 -0.0350187 0.987571 ,-0.131207 -0.0700182 -1.3635 
E 230 221 :0.982102 -0.0513985 0.181199 0.0403592 0.997127 0.0640951 -0.183973 -0.0556349 0.981356 ,-0.150748 -0.101008 -1.55278 
E 230 220 :0.978142 -0.065024 0.19751 0.0529239 0.996419 0.0659411 -0.20109 -0.0540467 0.978081 ,-0.166652 -0.110886 -1.67277 
E 230 219 :0.971141 -0.063919 0.229782 0.0543105 0.997374 0.0479064 -0.232241 -0.0340443 0.972062 ,-0.183163 -0.107246 -1.78887 
E 228 227 :0.999291 -0.0194444 0.0322523 0.0201849 0.999536 -0.0227943 -0.0317942 0.0234291 0.99922 ,-0.0159754 0.0204231 -0.168024 
E 228 226 :0.99821 -0.0283394 0.0526583 0.0301069 0.998999 -0.0330819 -0.0516681 0.0346081 0.998064 ,-0.0328294 0.0290462 -0.28433 
E 228 225 :0.993654 -0.0370879 0.106191 0.0373532 0.999302 -0.000510132 -0.106098 0.00447345 0.994346 ,-0.0607255 0.0124171 -0.464246 
E 228 224 :0.990884 -0.0584621 0.121369 0.0553575 0.998051 0.0287988 -0.122816 -0.0218176 0.99219 ,-0.0920556 -0.00705793 -0.641533 
E 228 223 :0.989869 -0.0315173 0.138441 0.030154 0.999474 0.011934 -0.138744 -0.00763859 0.990299 ,-0.120523 0.0111739 -0.808168 
E 228 222 :0.98247 -0.0472244 0.180338 0.0503916 0.998645 -0.0130192 -0.179479 0.0218786 0.983518 ,-0.138076 0.0146438 -0.985212 
E 228 221 :0.976132 -0.0571588 0.209521 0.0562005 0.998364 0.0105297 -0.20978 0.00149678 0.977747 ,-0.163009 -0.00589653 -1.17527 
E 228 220 :0.971621 -0.0707291 0.225722 0.0696736 0.99749 0.0126492 -0.22605 0.00343659 0.97411 ,-0.182371 -0.00918558 -1.29511 
E 228 219 :0.963707 -0.0690442 0.257879 0.0727478 0.997339 -0.00483625 -0.256859 0.0234209 0.966165 ,-0.202281 0.000802703 -1.41031 
E 228 217 :0.96166 -0.100286 0.255252 0.0974715 0.994956 0.0236856 -0.25634 0.00210228 0.966584 ,-0.326756 -0.0103722 -1.84773 
E 213 212 :0.99986 0.012679 0.0108955 -0.0123308 0.999429 -0.0314539 -0.011288 0.0313151 0.999446 ,-0.00954659 0.00250224 -0.248168 
E 213 211 :0.999525 0.0246277 -0.0185427 -0.0247614 0.999669 -0.00701318 0.0183639 0.00746899 0.999803 ,-0.0190801 -0.0186725 -0.442398 
E 213 210 :0.997792 0.00860964 -0.0658506 -0.00780877 0.999893 0.0124096 0.0659504 -0.011868 0.997752 ,-0.0205143 0.0158431 -0.746819 
E 213 209 :0.996044 0.0150222 -0.0875799 -0.0140816 0.999836 0.0113475 0.087736 -0.0100694 0.996093 ,0.000562784 0.0191384 -0.936468 
E 213 207 :0.996749 0.021012 -0.0777875 -0.0177873 0.998963 0.0419182 0.0785876 -0.0403982 0.996088 ,0.049398 0.000816335 -1.25366 
E 213 206 :0.998741 0.0207711 -0.0456667 -0.019268 0.999266 0.0331116 0.0463209 -0.03219 0.998408 ,0.0689017 0.0195538 -1.37418 
E 213 205 :0.999583 -0.00202724 -0.0288057 0.00226301 0.999964 0.00815474 0.0287881 -0.00821653 0.999552 ,0.0822521 0.0245552 -1.56607 
E 213 204 :0.998888 0.0234509 -0.040888 -0.0227041 0.999569 0.0186359 0.0413073 -0.0176868 0.99899 ,0.088257 0.0129113 -1.69483 
E 213 203 :0.996663 0.0370431 -0.0727406 -0.0348729 0.998915 0.0308809 0.0738056 -0.0282412 0.996873 ,0.0911355 -0.0024998 -1.82002 
E 213 201 :0.991221 0.0278307 -0.129251 -0.025312 0.999457 0.0210896 0.129768 -0.0176329 0.991388 ,0.101778 0.0192801 -2.05229 
E 213 199 :0.98759 0.0308932 -0.153983 -0.0290178 0.999475 0.0144121 0.154348 -0.00976501 0.987968 ,0.153214 0.0205043 -2.34942 
E 219 217 :0.999692 -0.0248054 -0.00056451 0.0248114 0.999282 0.0286372 -0.000146251 -0.0286423 0.99959 ,-0.0084155 -0.0127957 -0.454667 
E 219 216 :0.998007 0.00227623 -0.0630563 7.20653e-05 0.999307 0.0372139 0.0630974 -0.0371443 0.997316 ,-0.0163475 0.00185137 -0.707636 
E 219 215 :0.993982 -0.0125049 -0.108831 0.0148202 0.99968 0.0204916 0.10854 -0.0219812 0.993849 ,-0.00732476 0.0223849 -0.899565 
E 219 214 :0.989138 -0.00342048 -0.146953 0.00759024 0.999584 0.0278234 0.146797 -0.0286366 0.988752 ,0.0112748 0.00454479 -1.09875 
E 219 213 :0.990755 -0.0292728 -0.13247 0.0311523 0.999441 0.0121375 0.132041 -0.0161521 0.991113 ,0.0437852 -0.00407094 -1.39428 
E 219 212 :0.992472 -0.0208427 -0.120681 0.0186871 0.999645 -0.0189661 0.121034 0.0165681 0.99251 ,0.0671285 -0.00487964 -1.64155 
E 219 211 :0.988576 -0.00585251 -0.15061 0.00661288 0.999968 0.00454823 0.150579 -0.00549224 0.988583 ,0.0840327 -0.028697 -1.83497 
E 219 210 :0.98006 -0.0191675 -0.197778 0.0240796 0.999458 0.0224615 0.19724 -0.026776 0.97999 ,0.121928 0.00205969 -2.13743 
E 220 219 :0.999489 -0.00289088 0.0318223 0.00352037 0.999799 -0.0197433 -0.0317588 0.0198453 0.999299 ,0.00739065 0.0109756 -0.116581 
E 220 217 :0.999105 -0.028593 0.0311622 0.0283286 0.999559 0.00889418 -0.0314028 -0.00800344 0.999475 ,-0.0154521 0.00712951 -0.570916 
E 220 216 :0.999505 -0.00179583 -0.0313949 0.00233966 0.999848 0.0172941 0.031359 -0.017359 0.999357 ,-0.0314725 0.0267401 -0.823165 
E 220 215 :0.996885 -0.0160879 -0.0772079 0.0161734 0.999869 0.000482486 0.0771901 -0.0017297 0.997015 ,-0.0286213 0.0510906 -1.01484 
E 220 214 :0.993282 -0.00721969 -0.115494 0.00817259 0.999936 0.00777922 0.115431 -0.00867084 0.993278 ,-0.0163183 0.0372522 -1.21483 
E 220 213 :0.99436 -0.0326611 -0.100898 0.032027 0.999456 -0.00789913 0.101101 0.00462312 0.994865 ,0.00679602 0.0345874 -1.51136 
E 220 212 :0.995763 -0.0231947 -0.088981 0.0197876 0.999044 -0.0389825 0.0898001 0.0370567 0.99527 ,0.0222613 0.0387428 -1.7592 
E 220 211 :0.992844 -0.00891508 -0.119087 0.00711878 0.999855 -0.0155008 0.119208 0.0145421 0.992763 ,0.0330706 0.0188085 -1.9535 
E 220 210 :0.985766 -0.0228991 -0.166556 0.0236308 0.999718 0.00241248 0.166454 -0.00631399 0.986029 ,0.0612326 0.0556641 -2.25634 
E 221 220 :0.999767 -0.0137024 0.016696 0.0136845 0.999906 0.00118457 -0.0167106 -0.00095582 0.99986 ,0.0060557 -0.00235636 -0.121264 
E 221 219 :0.998678 -0.0162585 0.0487696 0.01716 0.999689 -0.0181223 -0.0484598 0.0189352 0.998646 ,0.0113478 0.00858121 -0.237963 
E 221 217 :0.99796 -0.0424163 0.0477203 0.041961 0.999064 0.0105037 -0.0481211 -0.00847991 0.998806 ,-0.0190225 0.00388473 -0.691849 
E 221 216 :0.999764 -0.0157856 -0.0149393 0.0160544 0.999708 0.0180467 0.01465 -0.0182823 0.999726 ,-0.0395194 0.0229754 -0.943813 
E 221 215 :0.99772 -0.0298137 -0.0605504 0.0299053 0.999553 0.000606921 0.0605052 -0.00241631 0.998165 ,-0.0402027 0.0471356 -1.13553 
E 221 214 :0.994865 -0.0210643 -0.09899 0.0219012 0.999733 0.00737461 0.0988082 -0.00950474 0.995061 ,-0.031052 0.03323 -1.33569 
E 221 213 :0.995378 -0.0462713 -0.0841562 0.0457511 0.99892 -0.00810064 0.0844401 0.00421296 0.99642 ,-0.0128574 0.0305305 -1.63256 
E 221 212 :0.996759 -0.0362599 -0.071809 0.0335187 0.998676 -0.0390176 0.0731288 0.0364842 0.996655 ,-0.00159074 0.0346035 -1.88063 
E 221 211 :0.994505 -0.0223706 -0.102272 0.0208459 0.999655 -0.015953 0.102594 0.0137334 0.994629 ,0.00624528 0.0145889 -2.07506 
E 221 210 :0.987991 -0.0366977 -0.150088 0.0373155 0.999303 0.00130103 0.149935 -0.006886 0.988672 ,0.0288395 0.0514676 -2.37837 
E 225 224 :0.999694 -0.0184959 0.0164056 0.0180197 0.999425 0.0287159 -0.0169273 -0.0284115 0.999453 ,-0.013049 -0.0190925 -0.179602 
E 225 223 :0.999434 0.00682673 0.0329401 -0.00719983 0.999911 0.0112213 -0.0328605 -0.0114521 0.999394 ,-0.0229749 -0.000563024 -0.348326 
E 225 222 :0.99716 -0.0119434 0.0743588 0.0131158 0.999797 -0.0152988 -0.074161 0.0162306 0.997114 ,-0.0215034 0.00276346 -0.526235 
E 225 221 :0.994294 -0.0196628 0.104848 0.0190202 0.999794 0.0071256 -0.104967 -0.00509071 0.994463 ,-0.0268799 -0.0176881 -0.717861 
E 225 220 :0.992041 -0.0333854 0.121411 0.0325784 0.999432 0.00862649 -0.12163 -0.00460246 0.992565 ,-0.0335268 -0.0207929 -0.839077 
E 225 219 :0.987561 -0.0338371 0.153554 0.0358062 0.999308 -0.010075 -0.153107 0.0154478 0.988089 ,-0.0407156 -0.0105884 -0.955741 
E 225 217 :0.986395 -0.0627078 0.151965 0.0605908 0.997991 0.0185263 -0.152821 -0.00906659 0.988212 ,-0.118409 -0.0190958 -1.4039 
E 225 216 :0.995279 -0.0372694 0.0896107 0.0351711 0.999071 0.0248825 -0.0904549 -0.0216133 0.995666 ,-0.165583 -0.00219429 -1.65242 
E 225 215 :0.997782 -0.0495509 0.0444391 0.049307 0.998762 0.00656765 -0.0447096 -0.00436192 0.998991 ,-0.186839 0.0205818 -1.84312 
E 233 232 :0.999941 0.00710917 -0.00815387 -0.0069875 0.999865 0.0148545 0.00825837 -0.0147967 0.999856 ,-0.000558043 -0.0357726 -0.192962 
E 233 231 :0.998588 0.0395581 -0.0354646 -0.0396479 0.999212 -0.00183307 0.0353642 0.00323658 0.999369 ,-0.00526875 -0.0410979 -0.370163 
E 233 230 :0.995494 0.0494728 -0.0808941 -0.0518663 0.998268 -0.0277579 0.0793807 0.0318285 0.996336 ,-0.00643511 -0.0229805 -0.555038 
E 233 229 :0.993112 0.0647254 -0.0976671 -0.065164 0.997874 -0.00130407 0.0973751 0.00765946 0.995218 ,-0.00130645 -0.0262354 -0.745422 
E 233 228 :0.992491 0.0596514 -0.106785 -0.0568168 0.997952 0.0293958 0.108319 -0.0231079 0.993848 ,0.000745264 -0.041722 -0.931745 
E 233 227 :0.996386 0.0378234 -0.0760508 -0.0375676 0.999283 0.00479279 0.0761776 -0.00191843 0.997092 ,0.00405044 -0.0253722 -1.10094 
E 233 226 :0.998028 0.0277695 -0.0562884 -0.0281887 0.99958 -0.00666712 0.0560796 0.00824067 0.998392 ,0.000257112 -0.0192281 -1.21855 
E 233 225 :0.99975 0.0223227 -0.000818025 -0.0222984 0.999494 0.0226871 0.00132405 -0.0226632 0.999742 ,-0.00920924 -0.0395271 -1.4 
E 233 224 :0.999861 0.0038418 0.0162249 -0.00466504 0.998687 0.0510103 -0.0160077 -0.0510789 0.998566 ,-0.0225342 -0.0623936 -1.57914 
E 233 223 :0.999051 0.0291551 0.0323648 -0.0302274 0.998993 0.0331545 -0.0313656 -0.0341013 0.998926 ,-0.031906 -0.04748 -1.74825 
E 233 222 :0.997265 0.0103645 0.0731831 -0.0108084 0.999925 0.00567251 -0.0731189 -0.00644799 0.997302 ,-0.0302151 -0.0482243 -1.92619 
E 233 221 :0.994556 0.00266431 0.104168 -0.00554197 0.999611 0.0273455 -0.104054 -0.027774 0.994184 ,-0.0358901 -0.072893 -2.11731 
E 227 226 :0.999753 -0.0092549 0.0202206 0.00947279 0.999898 -0.0107067 -0.0201194 0.0108956 0.999738 ,-0.0129701 0.00622187 -0.116956 
E 227 225 :0.997076 -0.017033 0.0744906 0.0155291 0.999665 0.020722 -0.0748185 -0.0195046 0.997006 ,-0.0354618 -0.0140725 -0.297252 
E 227 224 :0.995204 -0.0375814 0.0903183 0.0331872 0.998214 0.0496717 -0.0920237 -0.046436 0.994673 ,-0.0615261 -0.0370829 -0.474968 
E 227 223 :0.994187 -0.0110778 0.107098 0.00764195 0.999445 0.0324385 -0.107398 -0.0314315 0.993719 ,-0.0843069 -0.0222101 -0.642806 
E 227 222 :0.988497 -0.0277289 0.148678 0.0270596 0.999613 0.00652322 -0.148801 -0.00242503 0.988864 ,-0.096149 -0.0225485 -0.820357 
E 227 221 :0.983244 -0.037014 0.178499 0.0322792 0.999048 0.0293586 -0.179415 -0.0231049 0.983502 ,-0.115436 -0.0470475 -1.01061 
E 227 220 :0.979525 -0.0506539 0.194846 0.0454525 0.998483 0.0310769 -0.196124 -0.0215844 0.980341 ,-0.13104 -0.0527663 -1.1309 
E 227 219 :0.972658 -0.0496087 0.22688 0.0479574 0.998768 0.0127881 -0.227235 -0.00155789 0.973839 ,-0.147072 -0.0450944 -1.24688 
E 227 217 :0.971095 -0.0801986 0.224817 0.0727215 0.996494 0.0413577 -0.227346 -0.0238132 0.973523 ,-0.257777 -0.0640922 -1.68772 
E 227 216 :0.985032 -0.0557876 0.163093 0.0487407 0.99771 0.0468978 -0.165335 -0.0382466 0.985496 ,-0.323613 -0.0530787 -1.93229 
E 226 225 :0.998482 -0.00716674 0.0546093 0.00548447 0.999508 0.0308934 -0.0548038 -0.030547 0.99803 ,-0.0190509 -0.0220485 -0.180486 
E 226 224 :0.997123 -0.027182 0.0707543 0.0229706 0.997954 0.0596683 -0.0722314 -0.0578714 0.995708 ,-0.0417512 -0.0467517 -0.358436 
E 226 223 :0.996174 -0.000975124 0.0873858 -0.00273009 0.999102 0.0422711 -0.0873486 -0.042348 0.995277 ,-0.0610087 -0.0334983 -0.52685 
E 226 222 :0.991503 -0.0182042 0.128807 0.0162871 0.999741 0.0159208 -0.129064 -0.0136876 0.991542 ,-0.0692788 -0.0356616 -0.704591 
E 226 221 :0.986916 -0.0270762 0.158945 0.0212212 0.999036 0.0384195 -0.159832 -0.0345438 0.98654 ,-0.0849651 -0.0620525 -0.894919 
E 226 220 :0.983659 -0.0407487 0.175368 0.0342456 0.998615 0.0399518 -0.176753 -0.0332934 0.983692 ,-0.0981992 -0.068937 -1.01544 
E 226 219 :0.977444 -0.0401039 0.207352 0.0364748 0.999108 0.0212976 -0.208021 -0.0132541 0.978035 ,-0.111821 -0.0623812 -1.13179 
E 226 217 :0.976118 -0.0702601 0.205567 0.0612497 0.996875 0.0498799 -0.208429 -0.0360978 0.977371 ,-0.21381 -0.0851557 -1.57455 
E 226 216 :0.988577 -0.0455532 0.143669 0.0378179 0.997707 0.0561212 -0.145896 -0.0500469 0.988033 ,-0.274604 -0.0761987 -1.82051 
E 235 233 :0.998411 -0.0250358 0.0504809 0.026343 0.99933 -0.0253987 -0.0498112 0.0266882 0.998402 ,0.00518755 0.023846 -0.377726 
E 235 232 :0.998945 -0.0186815 0.0419608 0.0191489 0.999759 -0.0107653 -0.0417496 0.0115574 0.999061 ,-0.00421492 -0.00701629 -0.571307 
E 235 231 :0.999779 0.0146426 0.0150866 -0.0142138 0.999503 -0.0281488 -0.0154913 0.0279281 0.99949 ,-0.0177301 -0.00796142 -0.748132 
E 235 230 :0.999218 0.0260085 -0.0297747 -0.0276234 0.998094 -0.055176 0.0282829 0.0559553 0.998033 ,-0.0286808 0.0148086 -0.93217 
E 235 229 :0.998081 0.0400267 -0.0472398 -0.041432 0.998716 -0.0291533 0.0460122 0.0310546 0.998458 ,-0.0330895 0.0165266 -1.12259 
E 235 228 :0.997805 0.0334056 -0.0571806 -0.0333847 0.999442 0.00132068 0.0571928 0.000591182 0.998363 ,-0.0400591 0.00583672 -1.30913 
E 235 227 :0.999589 0.0126487 -0.0257159 -0.0132294 0.999658 -0.0225387 0.025422 0.0228696 0.999415 ,-0.0457095 0.0265599 -1.47778 
E 235 226 :0.999979 0.00311611 -0.00563235 -0.00330311 0.999433 -0.0335033 0.00552475 0.0335212 0.999423 ,-0.055588 0.0355872 -1.59486 
E 235 225 :0.998787 -0.00387996 0.0490831 0.00401937 0.999988 -0.00274178 -0.0490719 0.00293574 0.998791 ,-0.0736907 0.019661 -1.77608 
E 235 224 :0.997581 -0.0237457 0.0653306 0.022084 0.999417 0.0260412 -0.0659108 -0.0245355 0.997524 ,-0.0954652 0.00100872 -1.95489 
E 232 231 :0.999098 0.0326005 -0.0271966 -0.0330667 0.999311 -0.0168723 0.0266278 0.0177564 0.999488 ,-0.00613661 -0.00273606 -0.177216 
E 232 230 :0.996454 0.0427573 -0.0724673 -0.0459567 0.998014 -0.0430718 0.0704817 0.0462494 0.99644 ,-0.00895626 0.0181061 -0.361786 
E 232 229 :0.994314 0.0578122 -0.0894334 -0.0595358 0.998086 -0.0167242 0.0882954 0.0219535 0.995852 ,-0.00537742 0.0177052 -0.552232 
E 232 228 :0.993725 0.0524839 -0.0987762 -0.0513561 0.998583 0.0139271 0.0993672 -0.0087669 0.995012 ,-0.00475634 0.00499217 -0.738776 
E 232 227 :0.99722 0.0308229 -0.0678455 -0.0316062 0.999445 -0.0105022 0.0674842 0.0126173 0.997641 ,-0.00296286 0.0238667 -0.907728 
E 232 226 :0.99863 0.0208513 -0.0479934 -0.0219195 0.999521 -0.0218393 0.0475151 0.0228614 0.998609 ,-0.00777021 0.0317234 -1.0252 
E 232 225 :0.999859 0.0151502 0.00727974 -0.0152075 0.999853 0.00788537 -0.00715921 -0.00799496 0.999942 ,-0.0185926 0.0140447 -1.20685 
E 232 224 :0.999703 -0.00355859 0.0241141 0.00268063 0.999336 0.0363433 -0.0242274 -0.0362678 0.999048 ,-0.0332365 -0.00626281 -1.38619 
E 232 223 :0.998945 0.0218913 0.0403808 -0.0226568 0.99957 0.0185993 -0.0399562 -0.0194946 0.999011 ,-0.0441085 0.0110845 -1.55499 
E 232 222 :0.996678 0.00332362 0.0813753 -0.00263528 0.99996 -0.00856476 -0.0814005 0.00832186 0.996647 ,-0.043882 0.0129852 -1.73292 
E 232 221 :0.993677 -0.00455 0.112181 0.00306891 0.999906 0.0133718 -0.112231 -0.012943 0.993598 ,-0.0509626 -0.00889263 -1.92433 
E 232 220 :0.991509 -0.0182726 0.12875 0.016528 0.999757 0.0146056 -0.128986 -0.0123536 0.991569 ,-0.058538 -0.0128517 -2.04547 
E 229 228 :0.999905 -0.00804013 -0.0111887 0.00837306 0.999514 0.030034 0.0109418 -0.0301248 0.999486 ,-0.0150965 -0.0167481 -0.185613 
E 229 227 :0.999389 -0.0277411 0.0212526 0.0275873 0.999591 0.00749738 -0.0214519 -0.00690649 0.999746 ,-0.0293546 -0.00151504 -0.35434 
E 229 226 :0.998452 -0.036756 0.0417523 0.0368985 0.999316 -0.00264908 -0.0416263 0.00418558 0.999124 ,-0.0449751 0.00346962 -0.471031 
E 229 225 :0.994446 -0.0451689 0.0950592 0.0424684 0.99864 0.0302434 -0.096296 -0.0260384 0.995012 ,-0.0707218 -0.0187886 -0.650659 
E 229 224 :0.991719 -0.0662369 0.110025 0.0599387 0.996421 0.0596005 -0.113579 -0.0525122 0.99214 ,-0.0999087 -0.0438411 -0.827611 
E 229 223 :0.991085 -0.0394647 0.127252 0.0342605 0.998495 0.04283 -0.128751 -0.0380885 0.990945 ,-0.126655 -0.0308612 -0.995021 
E 229 222 :0.98398 -0.0554939 0.169422 0.0532029 0.998421 0.0180361 -0.170155 -0.00873339 0.985379 ,-0.142254 -0.0328573 -1.17227 
E 229 221 :0.977935 -0.0651971 0.198477 0.0580458 0.997445 0.0416446 -0.200685 -0.0292049 0.97922 ,-0.164893 -0.0593048 -1.36189 
E 229 220 :0.973498 -0.0787808 0.2147 0.070986 0.996516 0.0437895 -0.217401 -0.0273883 0.975698 ,-0.182885 -0.0663536 -1.48178 
E 229 219 :0.965905 -0.0773184 0.247083 0.0730671 0.996979 0.0263431 -0.248374 -0.00739128 0.968636 ,-0.201585 -0.0599967 -1.59744 
E 247 246 :0.999976 0.00402401 0.00568778 -0.00408028 0.999943 0.0099164 -0.00564755 -0.00993937 0.999935 ,-0.00191539 -0.0185107 -0.193117 
E 247 245 :0.999555 0.015413 -0.0255262 -0.0147182 0.999522 0.0271879 0.0259331 -0.0268001 0.999304 ,-0.00583596 -0.0455505 -0.432548 
E 247 244 :0.998208 0.00932861 -0.0591096 -0.00948192 0.999952 -0.00231372 0.0590852 0.00287005 0.998249 ,-0.000216173 -0.0304987 -0.603052 
E 247 243 :0.995254 0.0234157 -0.0944468 -0.0254602 0.999466 -0.0205001 0.0939163 0.0228074 0.995319 ,0.0190311 -0.0390085 -0.78887 
E 247 242 :0.994367 0.0391684 -0.0984879 -0.0382784 0.999208 0.0109111 0.0988372 -0.00707966 0.995078 ,0.0394269 -0.0591847 -0.982138 
E 247 241 :0.997291 0.0162193 -0.0717418 -0.0152021 0.999776 0.0147031 0.0719643 -0.0135727 0.997315 ,0.0596928 -0.0397975 -1.16817 
E 247 240 :0.998377 0.0121508 -0.0556393 -0.0119214 0.999919 0.00445406 0.0556889 -0.00378354 0.998441 ,0.0710454 -0.018892 -1.36324 
E 247 239 :0.998906 0.0197565 -0.0423909 -0.0180984 0.999069 0.0391488 0.0431249 -0.0383388 0.998334 ,0.0781605 -0.043145 -1.55662 
E 247 238 :0.998717 0.0316991 -0.0395007 -0.029824 0.998441 0.0471873 0.0409349 -0.0459487 0.998105 ,0.085021 -0.0723815 -1.7908 
E 231 230 :0.998952 0.0109493 -0.0444447 -0.0121886 0.999542 -0.0277114 0.0441209 0.028224 0.998627 ,-0.00842099 0.0174585 -0.184751 
E 231 229 :0.997737 0.0253412 -0.0622824 -0.0255118 0.999673 -0.00194547 0.0622127 0.00353 0.998057 ,-0.00990328 0.013793 -0.37519 
E 231 228 :0.997173 0.0191832 -0.0726527 -0.0171604 0.99945 0.0283651 0.0731569 -0.0270382 0.996954 ,-0.0138296 -0.00220337 -0.56144 
E 231 227 :0.999163 -0.00191731 -0.0408721 0.00212374 0.999985 0.00500776 0.0408619 -0.00509037 0.999152 ,-0.0171607 0.0137167 -0.730673 
E 231 226 :0.99972 -0.0116096 -0.0206373 0.0114951 0.999918 -0.00565715 0.0207012 0.00541834 0.999771 ,-0.0253517 0.0193252 -0.848091 
E 231 225 :0.999269 -0.0181382 0.0336387 0.0172717 0.999516 0.0258726 -0.0340917 -0.0252727 0.999099 ,-0.0404165 -0.00191946 -1.02905 
E 231 224 :0.998068 -0.0375659 0.049493 0.0348394 0.997887 0.0548439 -0.0514487 -0.0530136 0.997268 ,-0.0591512 -0.0258749 -1.20756 
E 231 223 :0.997729 -0.0117001 0.0663308 0.0092154 0.999249 0.0376417 -0.0667214 -0.036945 0.997087 ,-0.0750816 -0.0118911 -1.37627 
E 231 222 :0.993699 -0.0295232 0.108124 0.0284134 0.999527 0.0117909 -0.108421 -0.00864442 0.994068 ,-0.0796562 -0.0131438 -1.55415 
E 231 221 :0.989692 -0.0379541 0.138095 0.0334684 0.998839 0.0346624 -0.13925 -0.0296833 0.989812 ,-0.0911039 -0.0386362 -1.7449 
E 231 220 :0.986634 -0.0516437 0.154555 0.04655 0.998253 0.0363995 -0.156164 -0.0287185 0.987314 ,-0.101767 -0.0449905 -1.8657 
E 231 219 :0.98104 -0.0514184 0.186863 0.0488844 0.99864 0.0181465 -0.187541 -0.00866777 0.982218 ,-0.11306 -0.0379335 -1.98227 
E 258 257 :0.998423 -0.0143792 0.0542744 0.0155206 0.999666 -0.0206685 -0.0539591 0.0214782 0.998312 ,0.0242031 0.0172134 -0.440785 
E 258 256 :0.999422 -0.0181816 0.0287261 0.0177441 0.999724 0.015412 -0.0289984 -0.0148934 0.999468 ,0.0183868 -0.0162037 -0.90001 
E 236 235 :0.999743 -0.00231724 0.0225637 0.0022868 0.999996 0.00137469 -0.0225668 -0.00132273 0.999744 ,0.0117782 0.00321327 -0.182949 
E 236 233 :0.996969 -0.0267428 0.0730543 0.0285576 0.999306 -0.0239107 -0.0723642 0.0259245 0.997041 ,0.00838629 0.0265518 -0.560727 
E 236 232 :0.997701 -0.0207326 0.0645174 0.0213758 0.999728 -0.00929588 -0.0643072 0.0106536 0.997873 ,-0.00531014 -0.004598 -0.754006 
E 236 231 :0.999205 0.0129529 0.0377001 -0.0119487 0.999571 -0.0267402 -0.0380303 0.0262685 0.998931 ,-0.0228094 -0.00581711 -0.930479 
E 236 230 :0.999663 0.0249516 -0.00711991 -0.0252994 0.998227 -0.0538719 0.0057631 0.0540339 0.998522 ,-0.0379627 0.0166748 -1.11425 
E 236 229 :0.998959 0.0384028 -0.0246312 -0.0390862 0.998847 -0.0278886 0.0235318 0.0288223 0.999308 ,-0.0466709 0.0181209 -1.30453 
E 236 228 :0.998916 0.0310944 -0.0346422 -0.0310242 0.999515 0.00256234 0.0347051 -0.00148482 0.999396 ,-0.057823 0.00715872 -1.49085 
E 236 227 :0.999936 0.010845 -0.0031066 -0.0109085 0.999715 -0.0212235 0.00287555 0.0212561 0.99977 ,-0.0673253 0.027637 -1.65936 
E 236 226 :0.999854 0.00155574 0.0169974 -0.00100875 0.999483 -0.0321422 -0.0170386 0.0321204 0.999339 ,-0.0798638 0.0364808 -1.77619 
E 236 225 :0.997414 -0.00612994 0.0716132 0.00623592 0.99998 -0.00125651 -0.0716041 0.00169983 0.997432 ,-0.102014 0.0202642 -1.95694 
E 237 236 :0.999796 -0.0158676 -0.0125136 0.016426 0.998813 0.0458637 0.011771 -0.0460599 0.998869 ,0.0131249 -0.0284856 -0.254198 
E 237 235 :0.999785 -0.0181677 0.0100268 0.0176709 0.99871 0.0475957 -0.0108786 -0.0474082 0.998816 ,0.027139 -0.0334734 -0.43695 
